C:\Users\HP\Downloads\simulator-windows-64\IMG\center_2025_02_06_10_15_36_203.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\left_2025_02_06_10_15_36_203.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\right_2025_02_06_10_15_36_203.jpg, 0, 0, 0, 3.799318E-05
C:\Users\HP\Downloads\simulator-windows-64\IMG\center_2025_02_06_10_15_36_331.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\left_2025_02_06_10_15_36_331.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\right_2025_02_06_10_15_36_331.jpg, 0, 0, 0, 3.795796E-05
C:\Users\HP\Downloads\simulator-windows-64\IMG\center_2025_02_06_10_15_36_435.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\left_2025_02_06_10_15_36_435.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\right_2025_02_06_10_15_36_435.jpg, 0, 0, 0, 7.097461E-05
C:\Users\HP\Downloads\simulator-windows-64\IMG\center_2025_02_06_10_15_36_548.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\left_2025_02_06_10_15_36_548.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\right_2025_02_06_10_15_36_548.jpg, 0, 0, 0, 4.887679E-05
C:\Users\HP\Downloads\simulator-windows-64\IMG\center_2025_02_06_10_15_36_653.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\left_2025_02_06_10_15_36_653.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\right_2025_02_06_10_15_36_653.jpg, 0, 0, 0, 5.235807E-05
C:\Users\HP\Downloads\simulator-windows-64\IMG\center_2025_02_06_10_15_36_763.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\left_2025_02_06_10_15_36_763.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\right_2025_02_06_10_15_36_763.jpg, 0, 0, 0, 4.06713E-05
C:\Users\HP\Downloads\simulator-windows-64\IMG\center_2025_02_06_10_15_36_862.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\left_2025_02_06_10_15_36_862.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\right_2025_02_06_10_15_36_862.jpg, 0, 0, 0, 6.469068E-05
C:\Users\HP\Downloads\simulator-windows-64\IMG\center_2025_02_06_10_15_36_972.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\left_2025_02_06_10_15_36_972.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\right_2025_02_06_10_15_36_972.jpg, 0, 0, 0, 4.773038E-05
C:\Users\HP\Downloads\simulator-windows-64\IMG\center_2025_02_06_10_15_37_094.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\left_2025_02_06_10_15_37_094.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\right_2025_02_06_10_15_37_094.jpg, 0, 0, 0, 4.757931E-05
C:\Users\HP\Downloads\simulator-windows-64\IMG\center_2025_02_06_10_15_37_204.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\left_2025_02_06_10_15_37_204.jpg, C:\Users\HP\Downloads\simulator-windows-64\IMG\right_2025_02_06_10_15_37_204.jpg, 0, 0, 0, 4.081166E-05
